"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Closer - T-Mass Remix",0.821,0.0796,0.608,0.0444,0.7,"The Chainsmokers","rap",1
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","rap",1
"Danza Kuduro - Radio Edit",0.899,0.043,0.887,0.12,0.699,"Don Omar","rap",1
"Don't Let Me Down",0.869,0.136,0.422,0.172,0.532,"The Chainsmokers","rap",1
"Don't Let Me Down - Illenium Remix",0.656,0.15,0.355,0.075,0.428,"The Chainsmokers","rap",1
"Helicopter - Video Edit",0.96,0.175,0.165,0.0379,0.584,"Martin Garrix","rap",1
"Memories (feat. Kid Cudi)",0.899,0.229,0.47,0.233,0.546,"David Guetta","rap",1
"Play Hard (feat. Ne-Yo & Akon)",0.921,0.331,0.8,0.0533,0.691,"David Guetta","rap",1
"Side Effects - Nolan van Lith Remix",0.939,0.0561,0.516,0.0977,0.548,"The Chainsmokers","rap",1
"Siren",0.779,0.371,0.264,0.107,0.588,"The Chainsmokers","rap",1
"Wizard - Radio Edit",0.916,0.617,0.0795,0.052,0.565,"Martin Garrix","rap",1
