"index","track_name","duration_ms","n","energy","liveness","valence","speechiness","danceability"
"1","Poison",202907,22,0.738,0.232,0.431,0.0542,0.579
"23","Breathe",207630,21,0.744,0.143,0.686,0.0363,0.722
"44","Forever",218437,20,0.898,0.166,0.22,0.0395,0.45
"45","Alive",163842,20,0.773,0.466,0.372,0.0345,0.641
"84","Stay",210091,19,0.622,0.116,0.544,0.0622,0.69
"103","Dance Monkey",192203,18,0.855,0.247,0.311,0.232,0.781
"104","Paradise",227080,18,0.552,0.332,0.456,0.031,0.54
"139","Alone",161200,17,0.929,0.121,0.157,0.0458,0.676
"156","Lost",217493,16,0.729,0.0804,0.734,0.0308,0.713
"173","Señorita",190960,15,0.54,0.0945,0.75,0.0287,0.759
"2475","Gold Skies - Tiësto Remix",306133,6,0.972,0.149,0.431,0.0737,0.536
"2476","Diamonds",186108,6,0.827,0.332,0.548,0.0895,0.749
"2477","Rush",184368,6,0.915,0.0823,0.119,0.0309,0.678
"2478","Wolves",169846,6,0.727,0.169,0.403,0.0504,0.561
"2479","Daylight",227405,6,0.838,0.679,0.11,0.0445,0.623
"2480","Power",148837,6,0.907,0.116,0.21,0.108,0.49
"2481","Strangers",167706,6,0.594,0.422,0.534,0.0782,0.718
"2482","Tonight",171562,6,0.832,0.123,0.227,0.0733,0.743
"2483","Jump",214219,6,0.941,0.0781,0.362,0.182,0.775
"2484","Gold Skies - Tiësto Remix",306133,6,0.972,0.149,0.431,0.0737,0.536
"2485","Strangers",204240,6,0.698,0.157,0.503,0.0393,0.583
